[DEBUG] [2021-05-28 18:02:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 54323b4c5ffd4354bd8f005880b4d42f, msgType : 19
[DEBUG] [2021-05-28 18:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5fce5d145864707a04fbac4df48cedb, msgType : 19
[DEBUG] [2021-05-28 18:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b2a8f11c593b442480c584451e7b09d3, msgType : 19
[DEBUG] [2021-05-28 18:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 59d49bd32d154e5cb4d18eda0f94aadc, msgType : 19
[DEBUG] [2021-05-28 18:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : afe17466428e47b6a3c01eb74a607f24, msgType : 19
[DEBUG] [2021-05-28 18:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6cb5c76bcedc4f658d324ea95a90af73, msgType : 19
[DEBUG] [2021-05-28 18:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b5a78e2c074e4f60862de767d351dc3a, msgType : 19
[DEBUG] [2021-05-28 18:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4873ca874005483fbfca3c5423cb9517, msgType : 19
[DEBUG] [2021-05-28 18:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9167dfd9677e46f0867f67cd21f7cf6c, msgType : 19
[DEBUG] [2021-05-28 18:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1e530199bdef42c1b43266f139c25dbc, msgType : 18
