[DEBUG] [2021-05-27 16:01:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : af8e83430e9c49e281a8a4889d139da9, msgType : 19
[DEBUG] [2021-05-27 16:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5b2f22e815334bca947a589ec9078018, msgType : 19
[DEBUG] [2021-05-27 16:01:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 328dc7cd3dde4745b8c8fc467b5cb321, msgType : 19
[DEBUG] [2021-05-27 16:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 634c905cdac94a349657f742a2ce78fe, msgType : 19
[DEBUG] [2021-05-27 16:01:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 06dbd4762adf4816842d94966e49710c, msgType : 19
[DEBUG] [2021-05-27 16:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b4eaea87a7ba4eca878bfc9131433280, msgType : 19
[DEBUG] [2021-05-27 16:01:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8eedde804d3b44039a5eebe5870924bf, msgType : 19
[DEBUG] [2021-05-27 16:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7c0a08a6ff874ce6b69f9d3786472c51, msgType : 19
[DEBUG] [2021-05-27 16:01:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 786bb8e9c7e04b0ea7a3564be428c69e, msgType : 19
[DEBUG] [2021-05-27 16:01:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 85dd9f20c7fc4185bbe20767f08e0aa7, msgType : 19
